RHEA_ID	DIRECTION	MASTER_ID	ID
10041	LR	10040	R-HSA-176606.3
10041	LR	10040	R-HSA-8953499.3
10113	LR	10112	R-HSA-1614524.4
10117	LR	10116	R-HSA-71299.4
10133	LR	10132	R-HSA-159443.3
10165	LR	10164	R-HSA-71660.4
10166	RL	10164	R-HSA-70494.4
10189	LR	10188	R-HSA-191323.4
10189	LR	10188	R-HSA-73918.4
10225	LR	10224	R-HSA-964970.2
10245	LR	10244	R-HSA-71181.6
10249	LR	10248	R-HSA-73666.5
10272	UN	10272	R-HSA-426240.2
10277	LR	10276	R-HSA-1855182.3
10293	LR	10292	R-HSA-449734.3
10301	LR	10300	R-HSA-70449.4
10302	RL	10300	R-HSA-70482.5
10332	UN	10332	R-HSA-1482533.2
10337	LR	10336	R-HSA-5690911.3
10337	LR	10336	R-HSA-70971.5
10349	LR	10348	R-HSA-1247935.3
10376	UN	10376	R-HSA-936802.2
10376	UN	10376	R-HSA-936895.2
10382	RL	10380	R-HSA-73567.5
10389	LR	10388	R-HSA-372819.3
10389	LR	10388	R-HSA-70241.5
10401	LR	10400	R-HSA-893616.4
10410	RL	10408	R-HSA-390224.4
10413	LR	10412	R-HSA-2393939.5
10413	LR	10412	R-HSA-2393954.4
10413	LR	10412	R-HSA-5696049.2
10429	LR	10428	R-HSA-2161964.4
10601	LR	10600	R-HSA-2161620.4
10601	LR	10600	R-HSA-2161701.5
10657	LR	10656	R-HSA-71286.3
10717	LR	10716	R-HSA-1855178.3
10749	LR	10748	R-HSA-1237059.4
10749	LR	10748	R-HSA-1237081.2
10749	LR	10748	R-HSA-1475017.2
10749	LR	10748	R-HSA-1475022.2
10749	LR	10748	R-HSA-1475028.2
10749	LR	10748	R-HSA-1475436.3
10750	RL	10748	R-HSA-1237045.2
10750	RL	10748	R-HSA-1237047.4
10750	RL	10748	R-HSA-1475025.3
10750	RL	10748	R-HSA-1475026.4
10750	RL	10748	R-HSA-1475032.3
10750	RL	10748	R-HSA-1475435.3
10794	RL	10792	R-HSA-73806.4
10933	LR	10932	R-HSA-70577.5
10945	LR	10944	R-HSA-6788295.2
10965	LR	10964	R-HSA-5662466.3
10981	LR	10980	R-HSA-9014766.4
10994	RL	10992	R-HSA-389826.3
11021	LR	11020	R-HSA-1855153.3
11021	LR	11020	R-HSA-1855233.3
11029	LR	11028	R-HSA-9909159.1
11081	LR	11080	R-HSA-109380.6
11081	LR	11080	R-HSA-109449.5
11085	LR	11084	R-HSA-5662473.3
11094	RL	11092	R-HSA-75889.3
11142	RL	11140	R-HSA-446201.3
11149	LR	11148	R-HSA-1562603.2
11149	LR	11148	R-HSA-1562604.2
11149	LR	11148	R-HSA-917891.3
11149	LR	11148	R-HSA-917933.3
11185	LR	11184	R-HSA-73591.5
